Archetype_ID,Name,Domain,Layer_Range,Primary_Function,Yield_Category,Required_Ticket_Tier,Access_Level
ARCH001,Economic Foundation,CIVILIAN,1-16,Infrastructure,Base,None,Public
ARCH002,Defense Matrix,MILITARY,1-16,Security,Base,None,Public
ARCH003,Quantum Core,COSMIC,1-16,Technology,Base,None,Public
ARCH004,Commercial Network,CIVILIAN,7-22,Commerce,Enhanced,Feather,Standard
ARCH005,Tactical Operations,MILITARY,7-22,Operations,Enhanced,Feather,Standard
ARCH006,Dimensional Transit,COSMIC,7-22,Transport,Enhanced,Feather,Standard
ARCH007,Financial Services,CIVILIAN,16-31,Banking,Advanced,Titan,Premium
ARCH008,Cyber Warfare,MILITARY,16-31,Digital,Advanced,Titan,Premium
ARCH009,Cosmic Engineering,COSMIC,16-31,Engineering,Advanced,Titan,Premium
ARCH010,Prosperity Systems,CIVILIAN,31-48,Wealth,Supreme,Titan,Elite
ARCH011,Strategic Supremacy,MILITARY,31-48,Dominance,Supreme,Titan,Elite
ARCH012,Universal Constants,COSMIC,31-48,Transcendent,Supreme,Titan,Elite
ARCH013,Education Matrix,CIVILIAN,10-25,Knowledge,Enhanced,Feather,Standard
ARCH014,Intelligence Network,MILITARY,10-25,Information,Enhanced,Titan,Premium
ARCH015,Temporal Systems,COSMIC,10-25,Chronological,Enhanced,Titan,Premium
ARCH016,Real Estate,CIVILIAN,16-28,Property,Advanced,Feather,Standard
ARCH017,Arsenal Management,MILITARY,8-20,Armament,Enhanced,Titan,Premium
ARCH018,Stellar Navigation,COSMIC,9-24,Cosmic,Enhanced,Feather,Standard
ARCH019,Innovation Hub,CIVILIAN,37-48,Technology,Supreme,Titan,Elite
ARCH020,Special Forces,MILITARY,38-48,Elite,Supreme,Titan,Elite
ARCH021,Infinity Systems,COSMIC,42-48,Perpetual,Supreme,Titan,Elite
ARCH022,Healthcare Network,CIVILIAN,34-46,Wellness,Advanced,Feather,Standard
ARCH023,Joint Operations,MILITARY,29-41,Coordination,Advanced,Titan,Premium
ARCH024,Phase Control,COSMIC,36-48,Dimension,Supreme,Titan,Elite
ARCH025,Cultural Heritage,CIVILIAN,22-34,Legacy,Enhanced,Feather,Standard
ARCH026,Defense Systems,MILITARY,23-35,Protection,Advanced,Titan,Premium
ARCH027,Quantum Processing,COSMIC,21-33,Computation,Advanced,Titan,Premium
ARCH028,Trade Federation,CIVILIAN,19-31,Commerce,Advanced,Feather,Standard
ARCH029,Strategic Command,MILITARY,20-32,Planning,Advanced,Titan,Premium
ARCH030,Wormhole Network,COSMIC,24-36,Passage,Advanced,Titan,Premium
